glass,that,it,might,see,how,sulky,it,1
kitty,do,you,know,i,think,if,you,1
that,im,a,hungry,hyaena,and,youre,a,1
been,finished,with,earlier,in,the,afternoon,and,1
sent,to,prison,i,suppose,when,the,day,1
for,the,last,quarter,of,an,hour,and,1
the,black,kittens,fault,entirely,for,the,white,1
says,go,to,sleep,darlings,till,the,summer,1
up,in,a,corner,of,the,great,arm,1
holding,up,one,finger,im,going,to,tell,1
morrow,is,kitty,alice,began,youd,have,guessed,1
sticks,for,the,bonfire,and,it,wants,plenty,1
it,up,and,down,till,it,had,all,1
quite,still,and,trying,to,purr,no,doubt,1
were,comfortably,settled,again,when,i,saw,all,1
so,while,alice,was,sitting,curled,up,in,1
,,,,,looking,glass,house,1
and,speaking,in,as,cross,a,voice,as,1
dinah,was,making,you,tidy,so,you,couldnt,1
the,worsted,while,i,wasnt,looking,thats,three,1
with,it,it,was,the,black,kittens,fault,1
was,watching,the,boys,getting,in,sticks,for,1
white,kitten,had,had,nothing,to,do,with,1
before,the,kitten,as,a,model,for,it,1
in,the,mischief,the,way,dinah,washed,her,1
meant,for,its,good,but,the,black,kitten,1
then,and,ill,be,all,the,rest,and,1
and,so,while,alice,was,sitting,curled,up,1
see,suppose,each,punishment,was,to,be,going,1
by,the,old,cat,for,the,last,quarter,1
than,eat,them,do,you,hear,the,snow,1
been,punished,for,any,of,them,yet,you,1
one,paw,and,then,with,the,other,paw,1
kings,and,queens,and,her,sister,who,liked,1
by,its,ear,with,one,paw,and,then,1
wasnt,looking,thats,three,faults,kitty,and,youve,1
been,for,that,nasty,knight,that,came,wiggling,1
wouldnt,have,happened,now,dont,make,any,more,1
came,or,let,me,see,suppose,each,punishment,1
you,know,what,to,morrow,is,kitty,alice,1
work,on,the,white,kitten,which,was,lying,1
and,giving,it,a,little,kiss,to,make,1
your,punishments,for,wednesday,week,suppose,they,had,1
and,then,it,covers,them,up,snug,you,1
with,the,other,paw,she,rubbed,its,face,1
dont,smile,my,dear,im,asking,it,seriously,1
us,away,from,alices,speech,to,the,kitten,1
other,way,i,can,see,all,of,it,1
while,i,wasnt,looking,thats,three,faults,kitty,1
said,because,the,kitten,wouldnt,fold,its,arms,1
excuses,but,listen,number,two,you,pulled,snowdrop,1
might,see,how,sulky,it,was,and,if,1
floor,and,yards,and,yards,of,it,got,1
the,woods,look,sleepy,in,the,autumn,when,1
won,if,it,hadnt,been,for,that,nasty,1
or,three,turns,of,the,worsted,round,the,1
her,now,do,try,theres,a,dear,and,1
sister,who,liked,being,very,exact,had,argued,1
interrupt,me,she,went,on,holding,up,one,1
do,at,the,end,of,a,year,i,1
the,mischief,the,way,dinah,washed,her,childrens,1
the,ball,as,if,it,would,be,glad,1
snow,loves,the,trees,and,fields,that,it,1
its,ear,with,one,paw,and,then,with,1
at,once,well,i,shouldnt,mind,that,much,1
it,might,do,you,know,what,to,morrow,1
,looking,glass,house,one,thing,was,certain,1
begun,with,lets,pretend,were,kings,and,queens,1
kitten,was,speaking,her,paw,went,into,your,1
morrow,here,alice,wound,two,or,three,turns,1
the,kitten,what,would,they,do,at,the,1
again,and,when,they,wake,up,in,the,1
you,play,chess,now,dont,smile,my,dear,1
and,had,been,rolling,it,up,and,down,1
outside,i,wonder,if,the,snow,loves,the,1
her,what,you,were,thirsty,were,you,how,1
favourite,phrase,lets,pretend,she,had,had,quite,1
washing,your,face,this,morning,now,you,cant,1
window,all,over,outside,i,wonder,if,the,1
i,wonder,if,the,snow,loves,the,trees,1
than,the,kitten,what,would,they,do,at,1
cried,alice,catching,up,the,kitten,and,giving,1
nurse,do,lets,pretend,that,im,a,hungry,1
snowdrop,away,by,the,tail,just,as,i,1
rubbed,its,face,all,over,the,wrong,way,1
ball,of,worsted,to,clap,her,hands,and,1
without,them,than,eat,them,do,you,hear,1
kittens,neck,just,to,see,how,it,would,1
half,the,things,alice,used,to,say,beginning,1
comfortably,settled,again,when,i,saw,all,the,1
to,the,kitten,and,sometimes,to,herself,kitty,1
game,of,romps,with,the,ball,of,worsted,1
every,bit,of,the,worsted,while,i,wasnt,1
got,the,red,queen,off,the,table,and,1
attend,kitty,and,not,talk,so,much,ill,1
out,one,paw,and,gently,touching,the,ball,1
of,a,year,i,should,be,sent,to,1
whats,that,you,say,pretending,that,the,kitten,1
and,soft,it,sounds,just,as,if,some,1
two,you,pulled,snowdrop,away,by,the,tail,1
dinah,you,know,you,ought,she,added,looking,1
up,before,the,kitten,as,a,model,for,1
it,was,true,im,sure,the,woods,look,1
sometimes,to,herself,kitty,sat,very,demurely,on,1
had,had,nothing,to,do,with,it,it,1
and,alice,got,the,red,queen,off,the,1
going,without,a,dinner,then,when,the,miserable,1
make,it,understand,that,it,was,in,disgrace,1
while,dinah,was,washing,your,face,this,morning,1
little,thing,cried,alice,catching,up,the,kitten,1
one,thing,was,certain,that,the,white,kitten,1
wednesday,week,suppose,they,had,saved,up,all,1
and,youd,have,deserved,it,you,little,mischievous,1
demurely,on,her,knee,pretending,to,watch,the,1
soon,as,they,were,comfortably,settled,again,when,1
having,a,grand,game,of,romps,with,the,1
would,be,glad,to,help,if,it,might,1
panes,kitty,how,nice,and,soft,it,sounds,1
beginning,at,the,nose,and,just,now,as,1
and,gently,touching,the,ball,as,if,it,1
of,them,then,and,ill,be,all,the,1
she,was,talking,all,the,time,sometimes,to,1
i,think,if,you,sat,up,and,folded,1
my,ideas,about,looking,glass,house,first,theres,1
finished,with,earlier,in,the,afternoon,and,so,1
up,to,the,looking,glass,that,it,might,1
before,her,what,you,were,thirsty,were,you,1
kitty,sat,very,demurely,on,her,knee,pretending,1
her,childrens,faces,was,this,first,she,held,1
rest,and,once,she,had,really,frightened,her,1
and,just,now,as,i,said,she,was,1
lets,pretend,that,im,a,hungry,hyaena,and,1
the,white,kitten,had,been,having,its,face,1
now,and,then,putting,out,one,paw,and,1
herself,than,the,kitten,what,would,they,do,1
alice,used,to,say,beginning,with,her,favourite,1
it,might,see,how,sulky,it,was,and,1
know,what,to,morrow,is,kitty,alice,began,1
she,had,had,quite,a,long,argument,with,1
for,the,white,kitten,had,been,having,its,1
from,alices,speech,to,the,kitten,lets,pretend,1
just,now,as,i,said,she,was,hard,1
alice,catching,up,the,kitten,and,giving,it,1
so,to,punish,it,she,held,it,up,1
neck,just,to,see,how,it,would,look,1
corner,of,the,great,arm,chair,half,talking,1
and,once,she,had,really,frightened,her,old,1
all,knots,and,tangles,with,the,kitten,running,1
your,arms,youd,look,exactly,like,her,now,1
and,began,winding,up,the,ball,again,but,1
the,kitten,wouldnt,fold,its,arms,properly,so,1
the,things,alice,used,to,say,beginning,with,1
see,that,bit,i,want,so,much,to,1
could,manage,and,then,she,scrambled,back,into,1
a,bone,but,this,is,taking,us,away,1
the,table,and,set,it,up,before,the,1
i,want,so,much,to,know,whether,theyve,1
as,a,model,for,it,to,imitate,however,1
imitate,however,the,thing,didnt,succeed,principally,alice,1
been,rolling,it,up,and,down,till,it,1
to,see,how,it,would,look,this,led,1
manners,you,ought,dinah,you,know,you,ought,1
she,scrambled,back,into,the,arm,chair,taking,1
up,and,folded,your,arms,youd,look,exactly,1
curled,up,in,a,corner,of,the,great,1
but,listen,number,two,you,pulled,snowdrop,away,1
oh,thats,very,pretty,cried,alice,dropping,the,1
for,yourself,now,dont,interrupt,me,she,went,1
with,the,ball,of,worsted,alice,had,been,1
you,squeaked,twice,while,dinah,was,washing,your,1
it,seriously,because,when,we,were,playing,just,1
that,it,was,all,meant,for,its,good,1
a,year,i,should,be,sent,to,prison,1
unwound,again,do,you,know,i,was,so,1
do,so,wish,i,could,see,that,bit,1
all,in,green,and,dance,about,whenever,the,1
all,because,alice,had,begun,with,lets,pretend,1
all,over,outside,i,wonder,if,the,snow,1
kitten,had,been,having,its,face,washed,by,1
or,let,me,see,suppose,each,punishment,was,1
so,much,ill,tell,you,all,my,ideas,1
of,it,when,i,get,upon,a,chair,1
the,kitten,and,giving,it,a,little,kiss,1
well,go,and,see,the,bonfire,to,morrow,1
being,very,exact,had,argued,that,they,couldnt,1
window,panes,kitty,how,nice,and,soft,it,1
if,it,would,be,glad,to,help,if,1
a,corner,of,the,great,arm,chair,half,1
on,holding,up,one,finger,im,going,to,1
there,were,only,two,of,them,and,alice,1
up,all,your,punishments,for,wednesday,week,suppose,1
had,all,come,undone,again,and,there,it,1
and,fields,that,it,kisses,them,so,gently,1
