AverageMetaDiffPercentEventsCorrect,AverageMetaDiffMeanTimeWithLabel,AverageMetaDiffMeanLabelCounts,MetaPercentEventsCorrect,BasePercentEventsCorrect,RatioPercentEventsCorrect,IncreasePercentEventsCorrect,MetaMeanTimeWithLabel,BaseMeanTimeWithLabel,RatioMeanTimeWithLabel,IncreaseMeanTimeWithLabel,MetaMaxTimeWithLabel,BaseMaxTimeWithLabel,RatioMaxTimeWithLabel,IncreaseMaxTimeWithLabel,MetaMinTimeWithLabel,BaseMinTimeWithLabel,RatioMinTimeWithLabel,IncreaseMinTimeWithLabel,MetaMeanLabelCounts,BaseMeanLabelCounts,RatioMeanLabelCounts,IncreaseMeanLabelCounts,MetaDistinctLabels,BaseDistinctLabels,RatioDistinctLabels,IncreaseDistinctLabels,MetaPlausibilityAccuracy,BasePlausibilityAccuracy,RatioPlausibilityAccuracy,IncreasePlausibilityAccuracy,MetaPlausibilityWorkspaceAccuracy,BasePlausibilityWorkspaceAccuracy,RatioPlausibilityWorkspaceAccuracy,IncreasePlausibilityWorkspaceAccuracy,NumberEntities,MaxWalk,ProbNewEntities,SensorSeesColor,GridWidth,GridHeight,MetaAbductions,MetaAcceptedBad,MetaAcceptedImpossible,MetaAcceptedImpossibleLconf,MetaAcceptedBatch,MetaAcceptedNone,MetaMilliseconds,BaseMilliseconds,RatioMilliseconds,IncreaseMilliseconds,MetaBadCount,BaseBadCount,RatioBadCount,IncreaseBadCount,MetaSharedExplainsCount,BaseSharedExplainsCount,RatioSharedExplainsCount,IncreaseSharedExplainsCount,MetaUnexplained,BaseUnexplained,RatioUnexplained,IncreaseUnexplained,MetaExplainCycles,BaseExplainCycles,RatioExplainCycles,IncreaseExplainCycles,Steps,StepsBetween,SensorNoise,BeliefNoise,Seed
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,2.172878787878788,2.172878787878788,1.0,0.0,2.157142857142857,2.157142857142857,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,47.4,15.91,2.979258328095537,197.92583280955373,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,6620723
0.0,0.0,0.0,100.0,100.0,1.0,0.0,7.083333333333333,7.083333333333333,1.0,0.0,8.25,8.25,1.0,0.0,6.0,6.0,1.0,0.0,1.75,1.75,1.0,0.0,7,7,1.0,0.0,2.037975582769633,2.037975582769633,1.0,0.0,1.7619047619047619,1.7619047619047619,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,49.029,66.495,0.7373336341078277,-26.266636589217235,0,0,0.0,0.0,4,4,1.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,1341852
0.0,0.0,0.0,94.44444444444444,94.44444444444444,1.0,0.0,7.5,7.5,1.0,0.0,9.5,9.5,1.0,0.0,5.5,5.5,1.0,0.0,1.5,1.5,1.0,0.0,4,4,1.0,0.0,1.5221464646464642,1.5221464646464642,1.0,0.0,1.65625,1.65625,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,26.432,32.734,0.8074784627604324,-19.25215372395675,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,745007
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,1.628769841269841,1.628769841269841,1.0,0.0,1.48,1.48,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,36.625,55.814,0.6561973698355251,-34.380263016447486,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,3654696
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,1.5288095238095238,1.5288095238095238,1.0,0.0,2.125,2.125,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,75.774,74.494,1.0171825918865949,1.718259188659491,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,3748546
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,1.7576190476190476,1.7576190476190476,1.0,0.0,2.96875,2.96875,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,54.268,15.773,3.4405629873835037,244.05629873835036,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,9763876
0.0,0.0,0.0,94.44444444444444,94.44444444444444,1.0,0.0,7.5,7.5,1.0,0.0,8.0,8.0,1.0,0.0,7.0,7.0,1.0,0.0,1.5,1.5,1.0,0.0,4,4,1.0,0.0,2.0723776223776227,2.0723776223776227,1.0,0.0,1.9,1.9,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,160.515,56.341,2.8489909657265575,184.89909657265576,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,536090
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,2.0488888888888885,2.0488888888888885,1.0,0.0,2.5238095238095237,2.5238095238095237,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,32.747,51.929,0.6306110265940034,-36.93889734059967,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,7792882
0.0,0.0,0.0,94.44444444444444,94.44444444444444,1.0,0.0,7.5,7.5,1.0,0.0,9.5,9.5,1.0,0.0,5.5,5.5,1.0,0.0,1.5,1.5,1.0,0.0,4,4,1.0,0.0,1.860119047619048,1.860119047619048,1.0,0.0,2.066666666666667,2.066666666666667,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,30.869,32.984,0.935878001455251,-6.412199854474903,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,5720789
0.0,0.0,0.0,100.0,100.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,4,4,1.0,0.0,2.0487301587301587,2.0487301587301587,1.0,0.0,2.4222222222222225,2.4222222222222225,1.0,0.0,4,10,0,40,30,30,0,0,0,0,0,0,33.023,75.135,0.43951553869701204,-56.04844613029879,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,36,36,1.0,0.0,10,1,0,0,9006850
